,DATE,거래단위,평균가격,총거래물량,총거래금액,도매시장,산지-광역시도,1kg_평균가격,1kg_물량,Year,Month
43,2024-11-01,20kg파렛트,19833.00198807157,20120.0,19952000,순천도매시장,경기도,991.6500994035785,402400.0,2024,11
44,2024-11-01,20kg파렛트,15787.16904276986,19640.0,15503000,인천삼산도매,경기도,789.358452138493,392800.0,2024,11
46,2024-11-01,20kg상자,23167.39130434783,18400.0,21314000,서울가락도매,경상남도,1158.369565217391,368000.0,2024,11
47,2024-11-01,20kg.,17998.90948745911,18340.0,16505000,수원도매시장,충청남도,899.9454743729555,366800.0,2024,11
48,2024-11-01,20kg파렛트,21148.3451536643,16920.0,17891500,인천구월도매,전라남도,1057.417257683215,338400.0,2024,11
49,2024-11-01,20kg파렛트,16574.7619047619,16800.0,13922800,서울가락도매,강원도,828.7380952380951,336000.0,2024,11
50,2024-11-01,20kg상자,23117.71653543307,15240.0,17615700,창원팔용도매시장,경상남도,1155.885826771653,304800.0,2024,11
51,2024-11-01,20kg상자,19825.39682539683,15120.0,14988000,광주각화도매,전라남도,991.2698412698415,302400.0,2024,11
52,2024-11-01,20kg상자,22279.74860335196,14320.0,15952300,대전노은도매,충청남도,1113.987430167598,286400.0,2024,11
53,2024-11-01,20kg상자,17466.85472496474,14180.0,12384000,인천구월도매,충청북도,873.3427362482371,283600.0,2024,11
54,2024-11-01,20kg상자,18024.89270386266,13980.0,12599400,광주서부도매,강원도,901.244635193133,279600.0,2024,11
55,2024-11-01,20kg파렛트,25250.0,13320.0,16816500,인천구월도매,전라북도,1262.5,266400.0,2024,11
56,2024-11-01,20kg상자,21159.3984962406,13300.0,14071000,인천구월도매,강원도,1057.96992481203,266000.0,2024,11
57,2024-11-01,20kg상자,17898.19376026273,12180.0,10900000,안양도매시장,경기도,894.9096880131365,243600.0,2024,11
58,2024-11-01,20kg상자,17260.94276094276,11880.0,10253000,인천삼산도매,경상북도,863.0471380471379,237600.0,2024,11
59,2024-11-01,20kg상자,16237.76223776224,11440.0,9288000,광주각화도매,전라남도,811.888111888112,228800.0,2024,11
60,2024-11-01,20kg상자,20849.1921005386,11140.0,11613000,순천도매시장,충청남도,1042.45960502693,222800.0,2024,11
61,2024-11-01,20kg상자,13938.06921675774,10980.0,7652000,서울가락도매,경상북도,696.903460837887,219600.0,2024,11
62,2024-11-01,20kg파렛트,17427.15596330275,10900.0,9497800,광주서부도매,전라남도,871.3577981651375,218000.0,2024,11
63,2024-11-01,20kg상자,22501.39146567718,10780.0,12128250,창원팔용도매시장,경상북도,1125.069573283859,215600.0,2024,11
64,2024-11-01,20kg상자,30794.42379182156,10760.0,16567400,안산도매시장,제주도,1539.721189591078,215200.0,2024,11
