DATE,거래단위,도매시장,산지-광역시도,등급,단위_무게(kg),1kg_물량,1kg_평균가격,weighted_price,광역시도,평균기온,평균풍속,평균강수량,Month,z_score
2022-01-01,10kg파렛트,광주각화도매,광주광역시,특,10,12000,425.0,5100000.0,광주광역시,-0.09,1.98,1.1,1,-0.6884568301404306
2020-01-01,8kg그물망,광주각화도매,대구광역시,특,8,38976,1066.912972085386,41584000.0,대구광역시,2.53,1.51,65.42,1,1.0908871076462874
2021-01-01,10kg그물망,광주각화도매,대구광역시,특,10,59400,594.4949494949494,35312999.99999999,대구광역시,-0.92,1.66,9.85,1,-0.21862708065035905
2023-01-01,8kg그물망,광주각화도매,전라남도,특,8,11584,522.7209944751381,6055200.0,전라남도,2.02,2.91,49.16,1,-0.41758014330709875
2020-01-01,8kg그물망,광주각화도매,전라남도,특,8,5504,541.7151162790698,2981600.0,전라남도,4.65,2.77,77.65,1,-0.36492958637005546
2024-01-01,8kg상자,광주각화도매,전라남도,특,8,68096,349.2363721804511,23781600.0,전라남도,3.31,2.88,42.0,1,-0.8984690245154515
2023-01-01,8kg상자,광주각화도매,전라남도,특,8,6208,547.4226804123712,3398400.0,전라남도,2.02,2.91,49.16,1,-0.3491085637676834
2021-01-01,8kg상자,광주각화도매,전라남도,특,8,78784,725.8529650690494,57185599.99999999,전라남도,1.84,2.69,36.6,1,0.1454893944103408
2021-01-01,8kg상자,광주각화도매,전라남도,특,8,2752,783.4302325581396,2156000.0,전라남도,1.84,2.69,36.6,1,0.3050900978019668
2023-01-01,8kg파렛트,광주각화도매,전라남도,특,8,768,723.9583333333335,556000.0000000001,전라남도,2.02,2.91,49.16,1,0.14023758982017576
2022-01-01,8kg파렛트,광주각화도매,전라남도,특,8,768320,313.4506455643481,240830400.0,전라남도,1.73,2.8,3.06,1,-0.9976648944895291
2021-01-01,8kg파렛트,광주각화도매,전라남도,특,8,182592,631.3748685594112,115284000.0,전라남도,1.84,2.69,36.6,1,-0.11639817538267432
2021-01-01,8kg파렛트,광주각화도매,전라남도,특,8,153344,662.5626043405676,101600000.0,전라남도,1.84,2.69,36.6,1,-0.029947657931356984
2021-01-01,8kg파렛트,광주각화도매,전라남도,특,8,30464,579.5693277310925,17656000.0,전라남도,1.84,2.69,36.6,1,-0.2600000015261249
2021-01-01,8kg파렛트,광주각화도매,전라남도,특,8,17344,780.4428044280443,13536000.0,전라남도,1.84,2.69,36.6,1,0.29680912769539686
2021-01-01,8kg파렛트,광주각화도매,전라남도,특,8,16192,379.4466403162055,6143999.999999999,전라남도,1.84,2.69,36.6,1,-0.8147279882630862
2020-01-01,8kg파렛트,광주각화도매,전라남도,특,8,272000,686.9117647058823,186840000.0,전라남도,4.65,2.77,77.65,1,0.037546742042314556
2020-01-01,8kg파렛트,광주각화도매,전라남도,특,8,203904,1016.674513496547,207303999.9999999,전라남도,4.65,2.77,77.65,1,0.9516291386985761
2020-01-01,8kg파렛트,광주각화도매,전라남도,특,8,20608,448.3695652173913,9240000.0,전라남도,4.65,2.77,77.65,1,-0.6236778086740357
2020-01-01,8kg파렛트,광주각화도매,전라남도,특,8,16256,581.1515748031496,9447200.0,전라남도,4.65,2.77,77.65,1,-0.2556141083316013
2024-01-01,10kg그물망,광주각화도매,전라남도,특,10,282800,322.0968882602546,91089000.0,전라남도,3.31,2.88,42.0,1,-0.9736980326334527
2024-01-01,10kg그물망,광주각화도매,전라남도,특,10,147300,498.0855397148677,73368000.00000001,전라남도,3.31,2.88,42.0,1,-0.4858681340294225
